cranberry jell-o|gelatin;cranberry
citrus vodka|vodka;flavoured;citrus
limeade|limeade
Knob Creek&reg; bourbon whiskey|whiskey;bourbon
Plymouth&reg; gin
Casa Noble&reg; anejo tequila|tequila;aged
rock melon|fruit;melon;cantaloupe
demerara sugar|sugar
Sweetener|sweetener
maraschino syrup|syrup;maraschino
watermelon liqueur|liqueur;watermelon
double espresso|coffee;espresso;double
Don Julio&reg; Blanco tequila|tequila;white
Suntory&reg; Royal whisky|whiskey;japanese
blush wine|wine;rose
pimento herbal liqueur|liqueur;herbal
Fisherman's Friend&reg; menthol candy|candy;menthol
white sambuca|liqueur;sambuca;white
Bacardi Breezer&reg; Orange|alcopop;orange
Gatorade&reg; Fruit Punch energy drink|energy;fruit punch
Keystone&reg; lager|beer;lager
Tropicana&reg; Light Berry Blend|juice;berry
wasabi|sauce;wasabi
sour apple mix|mix;sour apple
mustard|mustard
Tropicana Twister Kinetic Kiwi Strawberry|juice;kiwi-strawberry
DeKuyper&reg; triple sec|liqueur;orange;triple sec
bitter lemon soda|soda;bitter lemon
black cherry soda|soda;black cherry
Fleissmann's&reg; vodka|vodka
strawberry soda|soda;strawbery
mint syrup|syrup;mint
UV&reg; Citruv citrus vodka|vodka;flavoured;citrus
passion-fruit|fruit;passion fruit
gold rum|rum;gold
Bass&reg; pale ale|beer;ale;pale
Chiquita Kiwi-Strawberry Juice|juice;strawberry
Ribena&reg; blackcurrant cordial|syrup;blackcurrant
Sourz&reg; Tropical Blue liqueur|liqueur;tropical fruit
Del Monte&reg; pineapple juice|juice;pineapple
root beer|beer;root
Dole&reg; pineapple juice|juice;pineapple
Forty Creek&reg; Barrel Select Canadian whisky|whiskey;canadian
Bulla&reg; thickened cream|cream;thickened
aged tequila|tequila;aged
Snapple&reg; Rain soda|soda
Malibu&reg; passion fruit rum|rum;flavoured;passion fruit
Squirt&reg; citrus soda|soda;citrus
cucumbers|vegetable;cucumber
Longbranch&reg; bloody mary mix|mix;bloody mary
Bols&reg; Orange Curacao liqueur|liqueur;curacao;orange
Crystal Light&reg; lemonade mix|powder;lemon
melon schnapps|schnapps;melon
Cornmeal|powder;flour;cornmeal
strawberry-rhubarb mix|mix;strawberry-rhubarb
180&reg; citrus energy drink|energy;citrus
pineapple soda|soda;pineapple
Rose's&reg; sour apple mix|mix;sour apple
club soda|soda
grapefruit|fruit;grapefruit
Faygo&reg; Classic blueberry soda|soda;blueberry
Danish aquavit|brandy;akvavit
cottage cheese|cheese;cottage
Corona&reg; lager|beer;lager;light
DeKuyper&reg; Buttershots liqueur|liqueur;butterscotch
rosewater|syrup;rose
Christian Brothers&reg; brandy|brandy
red Bordeaux wine|wine;red
caramel vodka|vodka;flavoured;caramel
Amade&reg; ChocOrange liqueur|liqueur;chocolate;orange
McGuinness&reg; creme de menthe|liqueur;menthe
Dooley's Original Toffee & Vodka|liqueur;cream;caramel
Absolut&reg; Pears vodka|vodka;flavoured;pear
apricot juice|juice;apricot
Crown Royal&reg; Canadian whisky|whiskey;canadian
Stewart's&reg; key lime juice|juice;hey lime
Fanta&reg; orange soda|soda;orange
Calvados&reg; brandy|brandy
Farris&reg; soda water|soda
extra dry vermouth|vermouth;extra dry
creme de cacao|liqueur;chocolate
banana juice|juice;banana
DeKuyper&reg; Peachtree schnapps|schnapps;peach
white rhine wine|wine;white
Cinzano&reg; sweet vermouth|vermouth;sweet
sherry|wine;sherry
Aristocrat&reg; vodka|vodka
Curacao orange liqueur|liqueur;curacao;orange
blueberry|fruit;blueberry
Burnett's&reg; coconut vodka|vodka;flavoured;coconut
Leroux&reg; banana liqueur|liqueur;banana
Killian's&reg; Irish Red lager|beer;lager;red
Blanton's&reg; bourbon whiskey|whiskey;bourbon
Peychaud&reg; bitters|bitters;herbal
iced tea|ice tea
creme de mure|liqueur;blackberry
Rebel Yell&reg; bourbon whiskey|whiskey;bourbon
ginger brandy|brandy;flavoured;ginger
Bacardi&reg; dark rum|rum;dark
hazelnut syrup|syrup;hazelnut
Alize&reg; cognac|cognac
Tamarindo puree|puree;ramarind
Bols&reg; dark creme de cacao|liqueur;cacao
Kentucky Gentleman&reg; bourbon whiskey|whiskey;bourbon
Smirnoff&reg; Ice Triple Black|alcopop;lime
gelato|gelato
caramel syrup|syrup;caramel
Berliner Kindl&reg; beer|beer
tawny port|wine;tawny port
Welch's&reg; strawberry breeze|juice;strawberry;cocktaill
peach vodka|vodka;flavoured;peach
toffee liqueur|liqueur;caramel
Bols&reg; apricot brandy|brandy;flavoured;apricot
Jones&reg; FuFu berry soda|soda;berry
DeKuyper&reg; Blue Curacao liqueur|liqueur;curacao;blue
Whaler's&reg; Killer Coconut rum|rum;flavoured;coconut
Pabst&reg; lager|beer;lager
Marie Brizard&reg; anisette licorice liqueur|liqueur;anise
Cabo Wabo&reg; anejo tequila|tequila;aged
habanero pepper sauce|sauce;haranero;pepper
cranberry juice cocktail|juice;cranberry;cocktaill
strawberry syrup|syrup;strawberry
hazelnut liqueur|liqueur;hazelnut
Cruzan&reg; rum cream liqueur|liqueur;cream;rum
orange vodka|vodka;flavoured;orange
rice wine|wine;rice
Hiram Walker&reg; creme de bananes|liqueur;banana
Sazerac&reg; rye bourbon whiskey|whiskey;rye
dry cider|cider;dry
Gekkaikan sake|sake
Coca-Cola&reg; Cherry Coke|cola;cherry
Countrytime&reg; yellow lemonade|lemonade;yellow
raspberry sherbet|sherbet;raspberry
Cinnamon Red Hots|candy;cinnamon
Ke Ke Beach&reg; key lime liqueur|liqueur;key lime
fino sherry|wine;sherry;fino
orgeat syrup|syrup;orgeat
wildberry vodka|vodka;flavoured;wildberry
Svedka&reg; raspberry vodka|vodka;flavoured;raspberry
fruit soda|soda;fruit
Natural&reg; Light lager|beer;lager;light
sherbet|sherbet
Bacardi&reg; Select rum|rum;dark
Sauza&reg; tequila|tequila
Kona coffee liqueur|liqueur;coffee
sour cherry juice|juice;sour cherry
San Pellegrino&reg; Limonata soda|soda;lemon
Barq's&reg; root beer|beer;root
McGuinness&reg; melon liqueur|liqueur;melon
Hershey's&reg; chocolate bars|chocolate;bars
A&W&reg; vanilla cream soda|soda;vanilla
Early Times&reg; bourbon whiskey|whiskey;bourbon
Lamb's&reg; navy rum|rum;dark
Schweppes&reg; ginger ale|ginger ale
McMaster's&reg; Canadian whisky|whiskey;canadian
chocolate syrup|syrup;chocolate
cactus fruit juice|juice;cactus
Captain Morgan&reg; spiced rum|rum;spiced
DeKuyper&reg; Raspberry Pucker schnapps|schnapps;raspberry
Kool-Aid&reg; Orange mix|powder;orange
Soybase|soybase
red sparkling wine|wine;red;sparkling
Mr & Mrs T&reg; sweet and sour mix|mix;sweet and sour
Lemonel&reg; lemon liqueur|liqueur;lemon
Boris Jelzin&reg; vodka|vodka
green tea|tea;green
Bundaberg&reg; amber rum|rum;gold
99 Apples&reg; apple schnapps|schnapps;apple
Four Roses&reg; bourbon whiskey|whiskey;bourbon
amarula cream liqueur|liqueur;cream;marula
Gentleman Jack&reg; bourbon whiskey|whiskey;bourbon
apple vodka|vodka;flavoured;apple
key lime liqueur|liqueur;key lime
Mount Gay&reg; mango rum|rum;flavoured;mango
Faygo&reg; peach soda|soda;peach
coffee liqueur|liqueur;cofee
Britvic&reg; orange juice|juice;orange
El Tesoro&reg; Anejo tequila|tequila;aged
syrup|syrup
Bols&reg; triple sec|liqueur;orange;triple sec
Gilbey's&reg; gin|gin
Fernet Branca&reg; Menta|bitter;fernet;menta
West Coast Cooler&reg; wine|wine;white;flavoured
Buffalo Bill's&reg; pumpkin ale|beer;ale;pumpkin
berries|fruit;berries
Bacardi&reg; Silver O3|alcopop;mandarin
cranberry-grape juice|juice;cranberry-grape
Blackbeard's&reg; spiced rum|rum;spiced
hot chocolate|hot chocolate
elderflower syrup|syrup;elderflower
Kerns&reg; strawberry-banana nectar|juice;strawberry-banana
Seagram's&reg; 7 whisky|whiskey
gold tequila|tequila;gold
DeKuyper&reg; Pucker Strawberry Passion schnapps|schnapps;strawberry
Dewar's&reg; Scotch whisky|whiskey;scotch
Kool-Aid&reg; Lime mix|powder;lemon-lime
corn|cereal;corn
peach puree|puree;peach
Vincent Van Gogh&reg; apple vodka|vodka;flavoured;apple
Pecher Mignon&reg; peach liqueur|liqueur;peach
Amontillado&reg; dry sherry|wine;sherry;dry
Rose Essence|essence;rose
guavaberry liqueur|liqueur;guavaberry
banana liqueur|liqueur;banana
peppermint schnapps|schnapps;peppermint
green apple schnapps|schnapps;apple
peach-flavored water|water;flavoured;peach
Smirnoff&reg; Red Label vodka|vodka
passion-fruit juice|juice;passion-fruit
Pisang Ambon&reg; liqueur|liqueur;banana
rum cream liqueur|liqueur;cream;rum
Bols&reg; Kontiki red orange liqueur|liqueur;orange;red
gold sambuca|liqueur;sambuca;gold
sour cherries|fruit;cherry;sour
PAMA&reg; pomegranate liqueur|liqueur;pomegranate
peaches|fruit;peach
Smirnoff&reg; vodka|vodka
Absolut&reg; Ruby Red vodka|vodka;flavoured;grapefruit
Scorned Woman&reg; hot sauce|sauce;pepper
Jagermeister&reg; herbal liqueur|liqueur;herbal
Scoresby&reg; Scotch whisky|whiskey;scotch
Red Bull&reg; energy drink|energy
Cruzan&reg; banana rum|rum;flavoured;banana
caramel sauce|sauce;caramel
Petrol|petrol
1800&reg; Silver Tequila|tequila;white
hazelnuts|fruit;hazelnut
Stolichnaya&reg; lemon vodka|vodka;flavoured;lemon
raspberry schnapps|schnapps;rasperry
apple cider|cider;apple
ginger beer|beer;ginger
Rolling Rock&reg; lager|beer;lager
Snapple&reg; Mango Madness soda|soda;mango
Gatorade&reg; Tropical energy drink|energy;tropical
Juicy Juice&reg; watermelon juice|juice;watermelon
apricot brandy liqueur|liqueur;apricot
Gordon's&reg; gin|gin
Powers&reg; Irish whiskey|whiskey;irish
candy|candy
Elixir d'Anvers|liqueur;herbal
vanilla ice cream|ice cream;vanilla
Sarticious&reg; gin|gin
42 Below&reg; vodka|vodka
Welch's&reg; orange-pineapple juice|juice;orange-pineapple
Parfait Amour&reg; orange liqueur|liqueur;orange
cocoa cream|cream;cocoa
Bacardi&reg; 8 rum|rum;gold
Absolut&reg; citrus vodka|vodka;flavoured;citrus
passion-fruit nectar|juice;passion-fruit
extra virgin olive oil|oil olive;extra virgin
moonshine whiskey|whiskey;moonshine
egg substitute|egg;substitute
vodka|vodka
lime jell-o|jello;lime
tomatoes|vegetable;tomato
Fresca&reg; grapefruit soda|soda;grapefruit
V8&reg; vegetable juice|juice;vegetable
Bols&reg; peppermint liqueur|liqueur;peppermint
alcohol|alcohol
orange squash|squash;orange
Surge&reg; citrus soda|soda;citrus
crackers|cracker
lemon|fruit;lemon
port|wine;port
Mozart&reg; White chocolate liqueur|liqueur;chocolate;white
Chambord&reg; raspberry liqueur|liqueur;raspberry
powdered sugar|sugar;powdered
Viuda de Sanchez|sangrita;spiced
gummi bears|candy;gummi bears
White Curacao liqueur|liqueur;curacao;white
Ocean Spray&reg; cran-mango juice|juice;mango
Chablis&reg; white wine|wine;white
lime sherbet|sherbet;lime
mango syrup|syrup;mango
Bundaberg&reg; ginger beer|beer;ginger
chocolate cream liqueur|liqueur;cream;chocolate
blue cheese|cheese;blue
tropical-fruit schnapps|schnapps;tropical-fruit
Stolichnaya&reg; strawberry vodka|vodka;flavoured;strawberry
Schweppes&reg; lemonade|lemonade
Galliano&reg; black sambuca|liqueur;sambuca;black
Slim Jim|meat snacks
mandarin juice|juice;mandarin
nutmeg|fruit;nutmeg
olive juice|juice;olive
Gatorade&reg; energy drink|energy
Stoli&reg; Cranberi vodka|vodka;flavoured;cranberry
Three Olives&reg; orange vodka|vodka;flavoured;orange
Red Jak&reg; energy drink|energy;apple
Bananas Over You&reg; liqueur|liqueur;cream;banana
Pepsi&reg; Twist cola|cola;lemon
Chai tea|tea;black
Chile Piqions|pepper;pequin
onion powder|powder;onion
Ikon&reg; vodka|vodka
Hershey's&reg; chocolate syrup|syrup;chocolate
clove syrup|syrup;clove
orange soda|soda;orange
V&reg; energy drink|energy
Dubonnet&reg; Rouge vermouth|vermouth
smoky barbecue sauce|sauce;smoky barbecue
Korbel&reg; brandy|brandy
soda water|soda
cinnamon liqueur|liqueur;cinnamon
cherry conserve|fruit;cherry
Galliano&reg; white sambuca|liqueur;sambuca;white
whipped cream|cream;whipped
apple juice|juice;apple
hard cider|cider;hard
Seagram's&reg; black cherry vodka|vodka;flavoured;black cherry
Cherry Puree|puree;cherry
evaporated skimmed milk|milk;evaporated
acerola|fruit;acerola
La Preferida&reg; cream of coconut|cream;coconut
Stolichnaya&reg; vodka|vodka
Canadian apple cider|cider;apple
SoBe&reg; Synergy mango-orange juice|juice;mango-orange
Riccadonna Asti&reg; Champagne|wine;champagne
cola|cola
Moxie&reg; energy drink|energy
ginger liqueur|liqueur;ginger
beer|beer
raisins|raisins
Metaxa 5 Star|brandy;metaxa
Nescafe&reg; Ice Java coffee syrup|syrup;coffee
sweetened condensed milk|milk;sweetened-condensed
Johnnie Walker&reg; Scotch whisky|whiskey;schotch
Pop-Ice&reg;|ice pop
Worcestershire sauce|sauce;worcestershire
Jamaican coconut rum|rum;flavoured;coconut
Cabernet Sauvignon red wine|wine;red
Zen&reg; green tea liqueur|liqueur;green tea
orange peach-mango juice|juice;orange-peach-mango
sweet and sour lemon bar mix|mix;lemon
Cottee's&reg; Ice Magic chocolate coating|ice cream;chocolate;coating
Cashews|fruit;cashew
French vanilla ice cream|ice cream;vanilla
Kina&reg; Lillet Blanc wine|wine;white
Cape Velvet&reg; cream liqueur|liqueur;cream
green apple vodka|vodka;flavoured;apple
white chocolate liqueur|liqueur;chocolate;white
grapefruit soda|soda;grapefruit
Passoa&reg; liqueur|liqueur;passion-fruit
Alcohol-95&reg; grain alcohol|grain alcohol;everclear
Dr. Mcgillicuddy's&reg; Mentholmint schnapps|schnapps;mint
Godiva&reg; white chocolate liqueur|liqueur;chocolate;white
Nestea&reg; raspberry iced tea|ice tea;raspberry
Jamaican dark rum|rum;dark
Godet&reg; white chocolate liqueur|liqueur;chocolate;white
Bacardi&reg; raspberry rum|rum;flavoured;raspberry
Phillips&reg; Hot 100 cinnamon schnapps|schnapps;cinnamon
Licor 43&reg; liqueur|liqueur;citrus-fruit
Old Herold&reg; Koniferum Borovicka vodka|vodka
DeKuyper&reg; cherry schnapps|schnapps;cherry
peach juice|juice;peach
yellow lemonade|lemonade;yellow
lemon vodka|vodka;flavoured;lemon
granulated sugar|sugar;granulated
Glenfiddich&reg; Scotch whisky|whiskey;schotch
cherry syrup|syrup;cheerry
Ocean Spray&reg; white cranberry juice|juice;white cranberry
Voyant&reg; Chai cream liqueur|liqueur;chai
light cream|cream;light
Ceres&reg; passion-fruit juice|juice;passion;fruit
bananas|fruit;banana
prune juice|juice;prune
black raspberry liqueur|liqueur;black raspberry
Bay Leaves|spice;bay leaves
Mexican hot chocolate|hot chocolate
red sambuca|liqueur;sambuca;red
marshmallow|cookie;marshmellow
Sprite&reg; soda|soda;lime
sake rice wine|sake
Bacardi&reg; orange rum|rum;flavoured;orange
maraschino cherry|fruit;cherry;maraschino
Molinari&reg; black sambuca|liqueur;sambuca;black
Baby Duck&reg; white wine|wine;white
Boo Koo&reg; energy drink|energy
apricot brandy|brandy;flavoured;apricot
McCormick&reg; peach vodka|vodka;flavoured;peach
mineral water|soda
woodruff|other;woodruff
Nocello&reg; walnut liqueur|liqueur;walnut
Smirnoff&reg; orange vodka|vodka;flavoured;orange
Tropicana&reg; Peach Orchard Punch juice|punch;peach
white rum|rum;light
crushed ice|ice;crushed
Cointreau&reg; orange liqueur|liqueur;orange
blueberry schnapps|schnapps;blueberry
white port|wine;white;port
Cruzan&reg; mango rum|rum;flavoured;mango
Tanqueray&reg; malacca gin|gin
Nestle&reg; hot chocolate|hot chocolate
Guinness&reg; stout|beer;dark
Chocolate Extract|extract;chocolate
Pinot Grigio white wine|wine;white
Cusenier&reg; Freezomint creme de menthe|liqueur;mint
apricot|fruit;apricot
Graham&reg; cinnamon crackers|cracker;cinnamon
Cyprus brandy|brandy
Amp Overdrive|energy;cherry
Izarra&reg; herbal liqueur|liqueur;herbal
Harp&reg; lager|beer;lager
Finlandia&reg; mango vodka|vodka;flavoured;mango
lime cordial|syrup;lime
peach soda|soda;peach
Pepsi&reg; Orange Slice soda|soda;orange
Kerns&reg; guava juice|juice;guava
Gatorade&reg; strawberry energy drink|energy;strawberry
peppermint cordial|syrup;peppermint
white creme de menthe|liqueur;mint
Petit Syrah&reg; wine|wine;red
Snapple&reg; Raspberry Iced Tea soda|ice tea;raspberry
Sharp's&reg; blackcurrant menthol candy|candy;blaccurrant-menthol
Ocean Spray White Cranberry & Strawberry Juice|juice;cranberry-strawberry
Arrow&reg; peach schnapps|schnapps;peach
Mount Gay&reg; Eclipse Barbados rum|rum;gold
Gaetano&reg; triple sec|liqueur;orange;triple sec
Sparks&reg; energy drink|energy;alcohol
Tropicana&reg; Twister Orange Cranberry Clash juice
blueberry syrup|syrup;blueberry
butter|other;butter
Tuborg&reg; lager|beer;lager
peppers|pepper
banana pepper|pepper;banana
WKD&reg; Original Vodka Iron Brew|alcopop;orange
grape vodka|vodka;flavoured;grape
cranberry-raspberry juice|juice;raspberry-cranberry
lemon mix|mix;lemon
Bols&reg; advocaat liqueur|liqueur;avocaat
A&W&reg; cream soda|soda;cream
Caribbean cream|cream;caribbean
Coca-Cola&reg; Vanilla Coke|cola;vanilla
strawberries|fruit;strawberry
pina colada mix|mix;pina colada
Havana Club&reg; Anejo Especial rum|rum;gold
Baja Luna&reg; black raspberry liqueur|liqueur;black raspberry
Tropicana&reg; fruit punch|punch;fruit
Yoo-hoo&reg; chocolate milk|milk;chocolate
amaretto almond liqueur|liqueur;almond
Seagram's&reg; Lime Twisted gin|gin;lime
Monster Energy Green|energy
Dailey's strawberry Daquiri mix|mix;daquiri;strawberry
cracker|cracker
apple schnapps|schnapps;apple
Svedka&reg; Citron vodka|vodka;flavoured;citron
collins mix|mix;colins
Punt e Mes red vermouth||vermouth;red
chocolate|chocolate
Welch's&reg; raspberry juice|juice;raspberry
grapefruit juice|juice;grapefruit
coconut juice|juice;coconut
Truffles&reg; chocolate liqueur|liqueur;chocolate
cocoa|cacao
raspberry juice|juice;raspberry
vanilla cola|cola;vanilla
kumquats|fruit;kumquat
Orange Pekoe&reg; tea|tea;black
coke syrup|syrup;cola
Harveys&reg; Bristol Cream sherry|wine;sherry
Mekhong&reg; whiskey|whiskey;thailand
pear|fruit;pear
Mickey Finn's butterscotch and vanilla liqueur|liqueur;vanilla-butterscotch
Blue Curacao liqueur|liqueur;curacao;blue
Rose's&reg; Watermelon Cocktail Infusion|alcopop;watermelon
Tofu|cheese;tofu
apricot nectar|juice;apricot
coffee ice cream|ice cream;coffee
Wilcox&reg; chocolate milk|milk;chocolate
rock candy syrup|syrup;candy
Vincent Van Gogh&reg; raspberry vodka|vodka;flavoured;rasppberry
cherryade|soda;cherry
mango mix|mix;mango
spiced rum|rum;spiced
XS Energy Drink - Cola|energy;cola
Newfoundland Screech&reg; dark rum|rum;dark
pink grapefruit juice|juice;grapefruit;pink
Jones&reg; cream soda|soda;cream
elderflower cordial|squash;elderflower cordial
cornstarch|other;starch;cornstarch
Havana Club&reg; Anejo Reserva rum|rum;gold
lemon soda|soda;lemon
sweet vermouth|vermouth;sweet
Mug&reg; root beer|beer;root
Saurer Apfel&reg; apple schnapps|schnapps;apple
Coquila&reg; tequila cream liqueur|liqueur;cream;tequila
Chinotto|fruit;chinotto
Tazo Passion&reg; tea|tea
Kool-Aid&reg; Lemonade Tea mix|mix;leamonade tea
Abita&reg; root beer|beer;root
heavy cream|cream;heavy
Faygo&reg; rock & rye soda|soda;cream
A1&reg; steak sauce|sauce;steak
Upper Ten&reg; Scotch whisky|whiskey;scotch
Jack Iron&reg; strong Caribbean rum|rum;overproof
Kit Kat&reg; chocolate bar|chocolate;bar
dry red wine|wine;red;dry
Grand Marnier&reg; orange liqueur|liqueur;orange
almond extract|extract;almond
coconut cream|cream;coconut
Dole Pine-Orange-Banana Juice|juice;orange-banana
madeira|wine;madeira
Minute Maid&reg; lemonade|lemonade
Bols&reg; melon liqueur|liqueur;melon
honeydew melons|fruit;honeydew
vanilla Chai tea|tea;chai bannila
pear brandy|brandy;flavoured;pear
cappuccino|coffee;cappuccino
ice|ice
Bushmills&reg; Black Bush Irish whiskey|whiskey;irish
watermelon mix|mix;watermelon
V8&reg; Splash raspberry lemonade|lemonade;raspberry
Prosecco&reg; sparkling wine|wine;white;sparkling
ale|beer;ale
ginseng extract|extract;ginseng
Sourz&reg; tropical liqueur|liqueur;tropical
blackberries|fruit;blackberries
Jose Cuervo&reg; Reserva de la Familia tequila|tequila;aged
Bols&reg; white creme de cacao|liqueur;chocolate
Stirrings&reg; Bloody Mary Rimmer|other;garnish;blody mary rimmer
Kamchatka&reg; vodka|vodka
Juicy Juice&reg; fruit juice|juice;fruit
Sortilege&reg; Canadian whisky liqueur|whiskey;canadian;liqueur
Lillet&reg; Blanc wine|wine;white;dry
coffee brandy|brandy;coffee
Listerine&reg; Cool Mint mouthwash|mouthwash;mint
fennel|herb;fennel
Phillips&reg; butterscotch schnapps|schnapps;butterscotch
Vault&reg; energy drink|energy
Skyy&reg; vodka|vodka
Johnnie Walker&reg; Red Label Scotch whisky|whiskey;scotch
Schweppes&reg; pink lemonade|lemonade;pink
Palo Viejo&reg; white rum|rum;light
protein whey|protein whey
Smirnoff&reg; Black Ice|vodka
strawberry jell-o|jello;strawberry
lingonberry jam|jam;lingonberry
Iceberg&reg; vodka|vodka
cognac|cognac
mango vodka|vodka;flavoured;mango
Jacquin's&reg; orange flavored gin|gin;dlavoured;orange
Snapple&reg; Kiwi-Strawberry soda|soda;kiwi-strawberry
rye whiskey|whiskey;rye
St. Vincent&reg; Sunset 169 proof rum|rum;overproof
Red Grapefruit Juice|juice;red grapefruit
cantaloupe melons|fruit;melon;cantaloupe
kiwi-strawberry juice|juice;liwi-strawberry
papaya|fruit;papaya
black sambuca|liqueur;anise
lemon squash|squash;lemon
creme de noyaux|liqueur;almond
pine-orange-banana juice|juice;pine-orange-banana
lime liqueur|liqueur;lime
Captain Morgan&reg; Parrot Bay pineapple rum|rum;flavoured;pineapple
melon|fruit;melon
Bacardi&reg; Ciclon gold rum|rum;gold
Krekling Arctic Crowberry Frost|wine;crowberry
Deva&reg; absinthe|liqueur;herbal;absinthe
Jose Cuervo&reg; white tequila|tequila;white
mandarin soda|soda;mandarin
Amaretto Di Amore&reg; liqueur|liqueur;almond
peach bitters|bitters;peach
Aftershock&reg; Thermal Bite spice schnapps|schnapps;spiced
Chardonnay white wine|wine;white
plum wine|wine;flavoured;plum
Marshmellow|cookie;marshmellow
Tabasco&reg; sauce
Pimm's Summer Punch
Hawaiian Sun&reg; passion-fruit drink|juice;passiaon fruit
Kool-Aid&reg; Cherry mix|mix;cherry
Bacardi&reg; Limon rum|rum;flavoured;lemon
Nachtmusiek&reg; chocolate liqueur|liqueur;chocolate
Tanqueray&reg; 10 gin|gin
strawberry wine|wine;flavoured;strawberry
Molson&reg; Canadian beer|beer
gelatin|gelatin
Smirnoff&reg; Watermelon Twist vodka|vodka;flavoured;watermelon
Goldschlager&reg; cinnamon schnapps|schnapps;cinnamon
Chocolate Pudding|pudding;chocolate
melon juice|juice;melon
Tropicana&reg; banana-strawberry juice|juice;banana-strawberry
silver rum|rum;light
Campari&reg; bitters|bitters;campari
Smirnoff&reg; Citrus Twist vodka|vodka;flavoured;citrus
pineapple wine|wine;flavoured;pineapple
Rose's&reg; Cocktail Infusions Cranberry Twist|mix;gin-cranberry
Archers&reg; lime schnapps|schnapps;lime
Canadian Mist&reg; whisky|whiskey;canadian
DeKuyper&reg; Harvest Pear schnapps|schnapps;pear
orangeade|soda;orange
vanilla rum|rum;flavoured;vanilla
extra dry gin|gin;extra dry
Simply&reg; Lemonade|lemonade
Snapple&reg; soda|soda
daiquiri mix|mix;daiquiri
Oats|cereal;oats
Arrow&reg; peppermint schnapps|schnapps;peppermint
sour lemonade|lemonade;sour
grape juice|juice;grape
Golden Grain&reg; alcohol|golden grain
apricot liqueur|liqueur;apricot
Applejack&reg; brandy|brandy;flavoured;apple
ouzo anise liqueur|liqueur;anise;ouzo
Looza&reg; pear nectar|juice;pear
MD 20/20&reg; grape-flavored wine|wine;flavoured
light rum|rum;light
Frigola&reg; herbal liqueur|liqueur;herbal
acai juice|juice;acai
Bols&reg; Pumpkin Smash liqueur|liqueur;pumpkin smash
Mozart&reg; chocolate liqueur|liqueur;chocolate
Fee Brothers&reg; peach bitters|bitters;peach
Jameson&reg; Irish whiskey|whiskey;irish
Sauternes white wine|wine;white
Stoli&reg; Vanil vodka|vodka;flavoured;vanilla
Nestle&reg; chocolate syrup|syrup;chocolate
grenadine syrup|syrup;grenadine
Dubonnet&reg; Blanc vermouth|vermouth
Smirnoff&reg; Green Apple Twist vodka|vodka;flavoured;apple
Kool-Aid&reg; Orange-Pineapple mix|mix;orange-pineapple
amaretto almond syrup|syrup;almond
Blue Ox&reg; energy drink|energy
151 proof rum|rum;overproof
Melinda's&reg; habanero pepper sauce|sauce;pepper
DeKuyper&reg; hazelnut liqueur|liqueur;hazelnut
Ketel One&reg; vodka|vodka
lemonade mix|mix;lemonade
currant syrup|syrup;currant
Bacardi Silver&reg; drink|alcopop;citrus
Samuel Adams&reg; Black Lager|beer;lager;black
advocaat liqueur|liqueur;cream
Herradura&reg; silver tequila|tequila;white
limes|fruit;lime
Bacardi&reg; pina-colada mixer|mix;pina-colada
Marie Brizard&reg; cherry liqueur|liqueur;cherry
simple syrup|syrup;simple
DeKuyper&reg; creme de bananes|liqueur;banana
Marie Brizard&reg; Apry apricot brandy|brandy;flavoured;apricot
stout|stout
Dole&reg; grapefruit juice|juice;grapefruit
sparkling berry jello|jello;sparkling;berry
Calvert Extra&reg; whiskey|whiskey;american
kiwi syrup|syrup;kiwi
Oreo Chocolate Cookies|cookie;chocolate
Monin&reg; apple syrup|syrup;apple
vanilla|spice;vanilla
Dole Pineapple Passion Mango juice|juice;mango
Polar&reg; raspberry lime soda|soda;lime;raspberry
raspberry soda water|soda;raspberry
coconut ice cream|ice cream;coconut
banana essence|essence;banana
raspberry yogurt|yogurt;raspberry
Absolut&reg; lemon vodka|vodka;flavoured;lemon
Miller&reg; lager|beer;lager
Windsor&reg; Canadian whisky|whiskey;canadian
Stolichnaya&reg; vanilla vodka|vodka;flavoured;vanilla
Seagram's&reg; Extra Dry gin|gin;extra dry
Mandarine Napoleon&reg; orange liqueur|liqueur;orange
green ginger wine|wine;ginger;green
Admiral Nelson's&reg; coconut rum|rum;flavoured;coconut
Don Q&reg; Cristal rum|rum;light
Bols&reg; coconut liqueur|liqueur;coconut
Hurricane&reg; malt liquor|beer;strong
Stoli&reg; Pertsovka vodka|vodka;flavoured;pepper
Georgia Moon&reg; corn whiskey|whiskey;corn
Continental&reg; vanilla liqueur|liqueur;vanilla
Fris&reg; apple vodka|vodka;flavoured;apple
cocoa powder|powder;cocoa
Kamora&reg; coffee liqueur|liqueur;cofee
Salsa|salsa
Dole&reg; orange juice|juice;orange
Tia Maria&reg; chocolate liqueur|liqueur;chocolate
Marie Brizard&reg; Coconut Passion liqueur|liqueur;coconut
creme de cassis|liqueur;blackcurrant
Everclear&reg; alcohol|grain alcohol;everclear
icing sugar|powder;shugar
peppermint candies|candy;pepermint
double cream|cream;double
pine-orange-strawberry juice|juice;pine-orange-strawberry
DeKuyper&reg; Hot Damn 100 cinnamon schnapps|schnapps;cinnamon
Paul Masson&reg; brandy|brandy
butterscotch liqueur|liqueur;vanilla
chocolate ice cream|ice cream;chocolate
Marie Brizard&reg; Chocolat Royal liqueur|liqueur;cocolate
